requirement_id,level,domain,requirement,acceptable_evidence,score,evidence,notes
MET-2,L2,Metrics,Precision breaches enter the tuning backlog,Backlog items generated from precision breaches,,,
MET-6,L2,Metrics,Leadership metrics traceable to defined formulas,Leadership report with metric definitions,,,
GOV-7,L3,Governance,Council is the decision authority for disputes and deprecation,Minutes showing decisions made,,,
GOV-15,L3,Governance,Expedited path usage reported to the council,Council reporting showing usage trend,,,
PLN-5,L3,Planning,Backlog re-scored at least quarterly,Re-scoring records for the last four quarters,,,
TEL-4,L3,Telemetry,Data quality scored and reassessed annually,Data quality scores with assessment dates,,,
TEL-6,L3,Telemetry,Telemetry cost attributable to requiring detections,Cost attribution report,,,
TEL-7,L3,Telemetry,Telemetry normalized and logic written against the schema,Rules written against normalized fields,,,
FEA-3,L3,Feasibility,Telemetry cost recorded at the feasibility gate,Feasibility record with cost estimate,,,
FEA-4,L3,Feasibility,Telemetry generated via emulation before writing logic,Emulation record predating the logic commit,,,
DET-3,L3,Detection,Multi-platform implementations share one VAL and one fixture set,Detection metadata with multiple implementations,,,
DET-7,L3,Detection,Indicator-tier detections declare their curation process,Detection metadata and the documented curation job,,,
DET-10,L3,Detection,Every exception ships with a boundary fixture,Fixture asserting exception scope,,,
DET-11,L3,Detection,Adversary emulation before production with recorded result,Detection metadata validation.emulation,,,
DET-12,L3,Detection,Non-functional testing at production scale before deployment,Query cost and execution time records,,,
RSP-4,L3,Response,Playbooks exercised jointly before handover,Tabletop record with participants and date,,,
RSP-5,L3,Response,Response automation has a defined failure mode,Automation design document and failure test,,,
DAC-5,L3,DetectionAsCode,Fixture tests gate merge,CI configuration and a blocked pull request example,,,
DAC-6,L3,DetectionAsCode,Production deployment automated from reviewed source,Deployment pipeline configuration and run history,,,
DAC-7,L3,DetectionAsCode,Platform drift detected and reconciled on a cadence,Reconciliation job output,,,
DAC-8,L3,DetectionAsCode,Rollback achievable by revert plus pipeline run,Evidence of an executed rollback,,,
DEL-3,L3,Delivery,Staged rollout with canary observation criteria,Canary criteria and a promotion decision record,,,
IMP-7,L3,Improvement,Exception count threshold escalates to rebuild,Validator output and an escalation record,,,
IMP-9,L3,Improvement,Detection debt reported monthly and below fifteen percent,Twelve months of debt reporting,,,
IMP-10,L3,Improvement,Protected improvement capacity allocated,Sprint records showing protected allocation,,,
IMP-12,L3,Improvement,Drift detected by automated means,Scheduled emulation and liveness alerting configuration,,,
IMP-15,L3,Improvement,Every change records version class author reviewer and trigger,Commit and pull request history,,,
IMP-17,L3,Improvement,Detections not deprecated on low fire count alone,Deprecation records showing the stated reason,,,
IMP-20,L3,Improvement,Change notifications treated as an improvement trigger,Change advisory integration and generated backlog items,,,
MET-3,L3,Metrics,Coverage reporting is confidence-weighted,Coverage report showing weighting method,,,
MET-4,L3,Metrics,Detection silence and source liveness monitored automatically,Monitoring configuration and an example alert,,,
